CMPET_RATE,HOUSE_MANAGE_NO,HOUSE_TY,MODEL_NO,PBLANC_NO,REQ_CNT,RESIDE_SECD,RESIDE_SENM,SUBSCRPT_RANK_CODE,SUPLY_HSHLDCO
-,2026000113,108.7178 ,03,2026000113,27,01,해당지역,2,59
-,2026000113,108.7178 ,03,2026000113,22,02,기타지역,2,59
-,2026000113,108.7178 ,03,2026000113,39,03,기타경기,2,59
10.00,2026000113,115.1988 ,04,2026000113,10,01,해당지역,1,1
-,2026000113,115.1988 ,04,2026000113,1,02,기타지역,1,1
-,2026000113,115.1988 ,04,2026000113,5,03,기타경기,1,1
-,2026000113,115.1988 ,04,2026000113,0,01,해당지역,2,1
-,2026000113,115.1988 ,04,2026000113,0,02,기타지역,2,1
-,2026000113,115.1988 ,04,2026000113,0,03,기타경기,2,1
12.00,2026000113,115.1988P,05,2026000113,12,01,해당지역,1,1
-,2026000113,115.1988P,05,2026000113,4,02,기타지역,1,1
-,2026000113,115.1988P,05,2026000113,4,03,기타경기,1,1
-,2026000113,115.1988P,05,2026000113,0,01,해당지역,2,1
-,2026000113,115.1988P,05,2026000113,0,02,기타지역,2,1
-,2026000113,115.1988P,05,2026000113,0,03,기타경기,2,1
14.83,2026000113,116.4757T,06,2026000113,89,01,해당지역,1,19
13.89,2026000113,116.4757T,06,2026000113,10,02,기타지역,1,19
29.75,2026000113,116.4757T,06,2026000113,36,03,기타경기,1,19
-,2026000113,116.4757T,06,2026000113,0,01,해당지역,2,19
-,2026000113,116.4757T,06,2026000113,0,02,기타지역,2,19
-,2026000113,116.4757T,06,2026000113,0,03,기타경기,2,19
12.00,2026000113,118.1488 ,07,2026000113,12,01,해당지역,1,2
-,2026000113,118.1488 ,07,2026000113,2,02,기타지역,1,2
19.00,2026000113,118.1488 ,07,2026000113,8,03,기타경기,1,2
-,2026000113,118.1488 ,07,2026000113,0,01,해당지역,2,2
-,2026000113,118.1488 ,07,2026000113,0,02,기타지역,2,2
-,2026000113,118.1488 ,07,2026000113,0,03,기타경기,2,2
(△10),2026000112,059.9010 ,01,2026000112,33,01,해당지역,1,43
2.60,2026000112,059.9010 ,01,2026000112,26,02,기타지역,1,43
-,2026000112,059.9010 ,01,2026000112,3,01,해당지역,2,43
-,2026000112,059.9010 ,01,2026000112,20,02,기타지역,2,43
(△124),2026000112,075.7753A,02,2026000112,1,01,해당지역,1,125
(△110),2026000112,075.7753A,02,2026000112,14,02,기타지역,1,125
(△109),2026000112,075.7753A,02,2026000112,1,01,해당지역,2,125
(△104),2026000112,075.7753A,02,2026000112,5,02,기타지역,2,125
(△40),2026000112,075.7218B,03,2026000112,0,01,해당지역,1,40
(△36),2026000112,075.7218B,03,2026000112,4,02,기타지역,1,40
(△21),2026000112,075.7218B,03,2026000112,15,01,해당지역,2,40
(△20),2026000112,075.7218B,03,2026000112,1,02,기타지역,2,40
(△62),2026000112,084.7910A,04,2026000112,2,01,해당지역,1,64
(△50),2026000112,084.7910A,04,2026000112,12,02,기타지역,1,64
(△50),2026000112,084.7910A,04,2026000112,0,01,해당지역,2,64
(△44),2026000112,084.7910A,04,2026000112,6,02,기타지역,2,64
(△36),2026000112,084.7677B,05,2026000112,0,01,해당지역,1,36
(△35),2026000112,084.7677B,05,2026000112,1,02,기타지역,1,36
(△34),2026000112,084.7677B,05,2026000112,1,01,해당지역,2,36
(△33),2026000112,084.7677B,05,2026000112,1,02,기타지역,2,36
15.87,2026000110,076.2548A,01,2026000110,984,01,해당지역,1,62
-,2026000110,076.2548A,01,2026000110,105,02,기타지역,1,62
-,2026000110,076.2548A,01,2026000110,0,01,해당지역,2,62
-,2026000110,076.2548A,01,2026000110,0,02,기타지역,2,62
38.51,2026000110,084.9621A,02,2026000110,1887,01,해당지역,1,49
-,2026000110,084.9621A,02,2026000110,177,02,기타지역,1,49
-,2026000110,084.9621A,02,2026000110,0,01,해당지역,2,49
-,2026000110,084.9621A,02,2026000110,0,02,기타지역,2,49
16.29,2026000110,084.8884B,03,2026000110,228,01,해당지역,1,14
-,2026000110,084.8884B,03,2026000110,40,02,기타지역,1,14
-,2026000110,084.8884B,03,2026000110,0,01,해당지역,2,14
-,2026000110,084.8884B,03,2026000110,0,02,기타지역,2,14
(△246),2026000109,084.7557 ,01,2026000109,2,01,해당지역,1,248
(△245),2026000109,084.7557 ,01,2026000109,1,02,기타지역,1,248
(△245),2026000109,084.7557 ,01,2026000109,0,01,해당지역,2,248
(△244),2026000109,084.7557 ,01,2026000109,1,02,기타지역,2,248
(△50),2026000109,089.9089 ,02,2026000109,0,01,해당지역,1,50
(△49),2026000109,089.9089 ,02,2026000109,1,02,기타지역,1,50
(△49),2026000109,089.9089 ,02,2026000109,0,01,해당지역,2,50
(△49),2026000109,089.9089 ,02,2026000109,0,02,기타지역,2,50
(△166),2026000109,105.7905 ,03,2026000109,1,01,해당지역,1,167
(△166),2026000109,105.7905 ,03,2026000109,0,02,기타지역,1,167
(△166),2026000109,105.7905 ,03,2026000109,0,01,해당지역,2,167
(△166),2026000109,105.7905 ,03,2026000109,0,02,기타지역,2,167
8.25,2026000107,059.9299A,01,2026000107,231,01,해당지역,1,28
-,2026000107,059.9299A,01,2026000107,157,02,기타지역,1,28
-,2026000107,059.9299A,01,2026000107,0,01,해당지역,2,28
-,2026000107,059.9299A,01,2026000107,0,02,기타지역,2,28
3.84,2026000107,059.8802B,02,2026000107,96,01,해당지역,1,25
-,2026000107,059.8802B,02,2026000107,52,02,기타지역,1,25
-,2026000107,059.8802B,02,2026000107,74,01,해당지역,2,25
-,2026000107,059.8802B,02,2026000107,81,02,기타지역,2,25
6.48,2026000107,059.9281C,03,2026000107,298,01,해당지역,1,46
-,2026000107,059.9281C,03,2026000107,218,02,기타지역,1,46
-,2026000107,059.9281C,03,2026000107,0,01,해당지역,2,46
-,2026000107,059.9281C,03,2026000107,0,02,기타지역,2,46
2.32,2026000107,084.9099A,04,2026000107,109,01,해당지역,1,47
-,2026000107,084.9099A,04,2026000107,62,02,기타지역,1,47
-,2026000107,084.9099A,04,2026000107,12,01,해당지역,2,47
-,2026000107,084.9099A,04,2026000107,20,02,기타지역,2,47
(△247),2026000107,084.9326B,05,2026000107,153,01,해당지역,1,400
(△113),2026000107,084.9326B,05,2026000107,134,02,기타지역,1,400
(△84),2026000107,084.9326B,05,2026000107,29,01,해당지역,2,400
(△60),2026000107,084.9326B,05,2026000107,24,02,기타지역,2,400
(△39),2026000107,084.9481C,06,2026000107,24,01,해당지역,1,63
(△24),2026000107,084.9481C,06,2026000107,15,02,기타지역,1,63
(△14),2026000107,084.9481C,06,2026000107,10,01,해당지역,2,63
(△6),2026000107,084.9481C,06,2026000107,8,02,기타지역,2,63
(△13),2026000107,084.8671D,07,2026000107,72,01,해당지역,1,85
3.92,2026000107,084.8671D,07,2026000107,51,02,기타지역,1,85
-,2026000107,084.8671D,07,2026000107,13,01,해당지역,2,85
-,2026000107,084.8671D,07,2026000107,10,02,기타지역,2,85
(△40),2026000107,114.9276A,08,2026000107,17,01,해당지역,1,57
(△32),2026000107,114.9276A,08,2026000107,8,02,기타지역,1,57
(△28),2026000107,114.9276A,08,2026000107,4,01,해당지역,2,57
(△26),2026000107,114.9276A,08,2026000107,2,02,기타지역,2,57
(△53),2026000107,114.9574B,09,2026000107,2,01,해당지역,1,55
(△45),2026000107,114.9574B,09,2026000107,8,02,기타지역,1,55
(△44),2026000107,114.9574B,09,2026000107,1,01,해당지역,2,55
(△41),2026000107,114.9574B,09,2026000107,3,02,기타지역,2,55
(△1),2026000107,162.7498A,10,2026000107,0,01,해당지역,1,1
1.00,2026000107,162.7498A,10,2026000107,1,02,기타지역,1,1
-,2026000107,162.7498A,10,2026000107,1,01,해당지역,2,1
-,2026000107,162.7498A,10,2026000107,0,02,기타지역,2,1
(△2),2026000107,162.3499B,11,2026000107,0,01,해당지역,1,2
1.00,2026000107,162.3499B,11,2026000107,2,02,기타지역,1,2
-,2026000107,162.3499B,11,2026000107,0,01,해당지역,2,2
-,2026000107,162.3499B,11,2026000107,0,02,기타지역,2,2
(△1),2026000107,170.5257A,12,2026000107,0,01,해당지역,1,1
2.00,2026000107,170.5257A,12,2026000107,2,02,기타지역,1,1
-,2026000107,170.5257A,12,2026000107,0,01,해당지역,2,1
-,2026000107,170.5257A,12,2026000107,1,02,기타지역,2,1
3.00,2026000107,170.3095B,13,2026000107,3,01,해당지역,1,1
-,2026000107,170.3095B,13,2026000107,2,02,기타지역,1,1
-,2026000107,170.3095B,13,2026000107,1,01,해당지역,2,1
-,2026000107,170.3095B,13,2026000107,1,02,기타지역,2,1
(△1),2026000107,225.6083 ,14,2026000107,0,01,해당지역,1,1
(△1),2026000107,225.6083 ,14,2026000107,0,02,기타지역,1,1
(△1),2026000107,225.6083 ,14,2026000107,0,01,해당지역,2,1
(△1),2026000107,225.6083 ,14,2026000107,0,02,기타지역,2,1
(△1),2026000107,250.5785 ,15,2026000107,0,01,해당지역,1,1
(△1),2026000107,250.5785 ,15,2026000107,0,02,기타지역,1,1
(△1),2026000107,250.5785 ,15,2026000107,0,01,해당지역,2,1
(△1),2026000107,250.5785 ,15,2026000107,0,02,기타지역,2,1
(△1),2026000107,260.5379 ,16,2026000107,0,01,해당지역,1,1
(△1),2026000107,260.5379 ,16,2026000107,0,02,기타지역,1,1
(△1),2026000107,260.5379 ,16,2026000107,0,01,해당지역,2,1
(△1),2026000107,260.5379 ,16,2026000107,0,02,기타지역,2,1
1.84,2026000105,084.0000A,01,2026000105,747,01,해당지역,1,406
-,2026000105,084.0000A,01,2026000105,165,02,기타지역,1,406
-,2026000105,084.0000A,01,2026000105,117,01,해당지역,2,406
